income,num_people_household,marital_status,age_yrs,gender,id,time_in_us,is_citizen,age_months,years_edu
14,2,1,50,2,73770,,1,,
6,5,,0,1,73771,,1,3,
15,4,5,21,2,73772,,1,,
15,5,1,39,2,73773,,1,,
99,2,2,80,2,73774,,1,,
3,5,,14,2,73775,,1,,6
5,7,,19,2,73776,1,2,,9
5,4,,5,1,73777,,1,,
5,1,1,62,1,73778,8,2,,
1,1,3,62,1,73779,,1,,
77,2,1,78,1,73780,,1,,
77,3,1,48,2,73781,,1,,
5,2,5,68,1,73782,,1,,
15,4,5,26,1,73783,,1,,
6,3,,7,2,73784,,1,,0
15,3,1,46,1,73785,4,1,,
5,4,,18,2,73786,,1,,10
9,3,1,71,1,73787,,1,,
2,4,,9,2,73788,,1,,3
15,4,,2,2,73789,,1,,
7,1,5,59,1,73790,,1,,
5,7,,8,1,73791,,1,,3
15,2,1,68,2,73792,,1,,
14,7,,10,1,73793,,1,,3
3,7,,6,2,73794,,1,,0
15,2,1,59,1,73795,,1,,
7,6,,5,2,73796,,1,,
4,3,1,57,2,73797,,1,,
5,7,,11,1,73798,1,2,,4
13,5,,10,2,73799,,1,,5
4,1,2,54,2,73800,,1,,
15,4,1,46,2,73801,,1,,
1,2,,18,2,73802,,1,,13
7,5,,14,1,73803,,1,,9
5,5,1,55,1,73804,4,2,,
2,2,5,30,2,73805,,1,,
14,2,1,63,1,73806,,1,,
15,2,1,50,2,73807,,1,,
7,2,5,53,2,73808,,1,,
6,3,4,52,2,73809,,1,,
14,7,1,48,1,73810,,1,,
5,2,1,64,1,73811,,1,,
3,3,,5,1,73812,,1,,
14,7,1,34,2,73813,,1,,
1,6,,0,1,73814,,1,4,
8,2,1,72,2,73815,,1,,
6,3,1,64,1,73816,3,1,,
5,7,,0,1,73817,,1,6,
15,4,,5,1,73818,,1,,
15,3,,4,1,73819,,1,,
9,3,1,56,1,73820,,1,,
15,2,1,56,2,73821,,1,,
1,4,,13,2,73822,,1,,8
6,2,1,35,1,73823,1,2,,
3,5,,11,1,73824,,1,,4
15,2,1,64,2,73825,7,1,,
4,6,,14,2,73826,,1,,9
15,3,,11,2,73827,,1,,5
9,4,,4,2,73828,,1,,
15,3,,7,2,73829,,1,,2
15,3,1,64,1,73830,6,1,,
6,4,3,48,2,73831,,1,,
10,2,1,77,1,73832,,1,,
15,3,1,34,2,73833,4,2,,
,1,5,64,1,73834,7,1,,
15,4,,13,1,73835,,1,,7
8,7,,9,2,73836,,1,,2
9,3,1,29,1,73837,,1,,
8,2,,2,2,73838,,1,,
9,4,1,68,1,73839,,1,,
5,1,3,77,2,73840,,1,,
5,7,,13,1,73841,,1,,7
3,1,1,53,1,73842,4,2,,
7,6,1,42,1,73843,6,1,,
7,3,,12,2,73844,,1,,5
4,1,2,70,2,73845,,1,,
7,5,5,24,2,73846,,1,,
7,6,6,34,1,73847,,1,,
3,1,2,65,2,73848,,1,,
15,5,,16,2,73849,,1,,9
5,7,1,30,1,73850,,1,,
15,3,1,48,2,73851,6,1,,
8,5,1,40,2,73852,6,1,,
14,5,,13,1,73853,,1,,7
14,6,,1,2,73854,,1,23,
2,3,4,38,2,73855,,1,,
14,6,,0,1,73856,,1,10,
7,6,5,23,1,73857,,1,,
4,2,3,52,1,73858,,1,,
9,2,1,38,1,73859,,1,,
6,1,4,53,1,73860,,1,,
15,2,1,77,1,73861,,1,,
6,3,1,61,2,73862,,1,,
8,1,5,26,1,73863,5,1,,
5,3,1,62,2,73864,,1,,
6,5,3,48,1,73865,,1,,
15,4,1,47,2,73866,,1,,
15,2,1,80,2,73867,,1,,
5,3,5,32,1,73868,,1,,
3,2,,7,1,73869,,1,,1
15,2,5,38,1,73870,,1,,
9,4,6,28,2,73871,,1,,
77,7,1,63,2,73872,5,1,,
7,2,2,80,1,73873,,1,,
10,3,,2,2,73874,,1,,
8,5,1,43,1,73875,4,2,,
15,6,,0,2,73876,,1,5,
7,6,,0,2,73877,,1,6,
7,2,5,45,2,73878,,1,,
7,4,3,58,2,73879,,1,,
10,6,3,50,2,73880,,1,,
7,3,3,38,1,73881,,1,,
3,2,5,25,2,73882,,1,,
2,6,1,67,1,73883,5,1,,
14,4,1,43,1,73884,,1,,
7,7,,6,1,73885,,1,,0
15,2,77,64,2,73886,,,,
7,3,,16,1,73887,,1,,9
15,4,1,56,1,73888,,1,,
4,3,,15,1,73889,,1,,8
2,4,,16,1,73890,,1,,9
9,4,,12,1,73891,,1,,6
15,5,,15,1,73892,4,1,,8
99,2,,17,1,73893,,1,,10
6,6,,6,1,73894,,1,,0
6,5,,5,1,73895,,1,,
12,6,,19,2,73896,,1,,13
3,3,,11,2,73897,,1,,5
12,4,,9,1,73898,,1,,3
15,4,1,57,1,73899,,1,,
15,2,1,66,1,73900,,1,,
15,1,5,54,1,73901,,1,,
15,2,1,28,2,73902,6,1,,
5,5,,4,2,73903,,1,,
4,5,,17,1,73904,,1,,11
5,6,,12,1,73905,,1,,6
3,5,4,34,2,73906,4,2,,
3,3,,8,2,73907,,1,,2
8,2,1,67,1,73908,,1,,
9,3,,0,1,73909,,1,7,
15,2,1,51,1,73910,,1,,
6,5,,3,1,73911,,1,,
4,3,,0,1,73912,,1,2,
12,5,5,26,1,73913,,1,,
12,1,5,52,2,73914,,1,,
5,5,,14,2,73915,,1,,8
4,2,5,27,1,73916,,1,,
6,4,,8,1,73917,,1,,2
6,3,5,32,1,73918,,1,,
1,2,1,61,1,73919,,1,,
7,4,,18,1,73920,,1,,13
3,1,5,80,2,73921,,1,,
5,2,1,75,2,73922,,1,,
10,6,,4,1,73923,,1,,
77,4,1,39,2,73924,,1,,
3,2,1,60,1,73925,9,1,,
10,3,1,64,1,73926,7,1,,
7,5,,3,2,73927,,1,,
12,3,5,23,1,73928,,1,,
5,2,,3,2,73929,,1,,
15,2,1,70,2,73930,,1,,
5,7,1,37,2,73931,5,2,,
3,3,1,30,1,73932,,1,,
4,6,,10,2,73933,,1,,4
8,6,5,31,1,73934,,1,,
77,2,1,63,1,73935,,1,,
15,4,,3,2,73936,,1,,
5,5,1,41,2,73937,4,2,,
15,2,1,53,2,73938,,1,,
1,6,,6,2,73939,,1,,1
77,6,,7,1,73940,,1,,1
8,3,6,28,1,73941,3,1,,
,6,,5,1,73942,,1,,
9,5,,19,1,73943,,1,,13
12,7,,0,1,73944,,1,9,
5,1,3,66,1,73945,,1,,
5,4,,2,1,73946,,1,,
5,5,,1,1,73947,,1,22,
6,3,,4,2,73948,,1,,
5,5,3,48,1,73949,,1,,
6,5,,3,1,73950,,1,,
9,3,,14,1,73951,,1,,8
1,1,5,42,1,73952,,1,,
12,5,,13,2,73953,,1,,7
15,4,1,45,2,73954,,1,,
15,3,1,31,2,73955,,1,,
9,5,,4,1,73956,,1,,
15,7,1,26,2,73957,4,2,,
9,3,,16,2,73958,,1,,11
9,7,,5,1,73959,,1,,
15,3,,11,2,73960,,1,,5
6,5,,7,1,73961,2,2,,0
9,7,1,49,1,73962,,1,,
14,4,,16,1,73963,4,1,,10
9,1,5,45,1,73964,,1,,
6,5,,0,1,73965,,1,1,
5,6,,7,1,73966,,1,,0
15,4,,9,1,73967,,1,,3
15,4,,15,1,73968,,1,,9
7,5,,0,1,73969,,1,9,
4,5,,10,1,73970,,1,,3
14,6,,15,2,73971,,1,,10
6,3,,2,2,73972,,1,,
8,1,2,75,2,73973,8,1,,
14,5,1,34,1,73974,,1,,
4,2,2,64,2,73975,,1,,
14,7,,11,2,73976,,1,,4
15,3,5,30,1,73977,,1,,
15,4,,10,2,73978,,1,,4
15,2,1,61,2,73979,,1,,
12,7,6,43,1,73980,77,2,,
7,5,5,36,2,73981,7,1,,
2,3,,13,1,73982,,1,,6
1,2,,18,2,73983,,1,,13
7,2,,5,1,73984,,1,,
9,3,1,43,2,73985,7,1,,
6,5,,7,2,73986,,1,,1
4,2,2,56,1,73987,,1,,
15,4,,4,1,73988,,1,,
6,5,,0,1,73989,,1,7,
15,3,1,50,2,73990,7,1,,
4,4,,8,2,73991,,1,,2
99,2,5,20,1,73992,,1,,
3,2,3,57,1,73993,,1,,
10,6,1,36,1,73994,,1,,
9,3,2,40,2,73995,2,2,,
6,3,,17,2,73996,,1,,11
14,5,,17,1,73997,,1,,10
7,4,5,32,2,73998,,1,,
15,2,1,66,1,73999,,1,,
7,7,,14,1,74000,,1,,7
5,5,1,48,1,74001,,1,,
14,3,1,63,1,74002,,1,,
4,3,4,68,2,74003,,1,,
9,5,1,31,2,74004,,1,,
3,1,5,23,1,74005,,1,,
6,2,3,34,2,74006,,1,,
7,2,1,71,2,74007,,1,,
8,2,1,49,2,74008,,1,,
15,5,,6,2,74009,,1,,0
8,5,1,40,1,74010,,1,,
15,2,1,55,1,74011,7,1,,
7,5,2,68,2,74012,99,2,,
15,2,1,56,2,74013,,1,,
99,2,3,60,1,74014,8,1,,
5,3,,2,2,74015,,1,,
14,4,1,49,1,74016,6,1,,
15,7,,18,2,74017,,1,,15
2,3,6,22,1,74018,,1,,
1,7,,17,2,74019,,1,,11
15,5,,4,2,74020,,1,,
6,4,,16,1,74021,,1,,10
3,7,2,66,2,74022,7,1,,
9,2,,19,1,74023,,1,,15
1,2,,3,1,74024,,1,,
8,3,3,45,1,74025,,1,,
77,4,,11,1,74026,,1,,5
10,6,1,42,1,74027,,1,,
6,4,1,57,2,74028,,1,,
7,1,5,22,1,74029,,1,,
4,5,,0,1,74030,,1,9,
8,4,,19,2,74031,,1,,15
15,4,1,47,2,74032,,1,,
10,1,2,80,1,74033,,1,,
14,6,,0,2,74034,,1,6,
3,3,,3,2,74035,,1,,
12,3,1,43,1,74036,,1,,
5,5,5,20,1,74037,4,2,,
1,2,3,54,2,74038,,1,,
6,7,,10,2,74039,,1,,4
4,5,,4,1,74040,,1,,
,3,2,60,1,74041,,1,,
5,4,1,41,2,74042,3,2,,
2,4,,14,2,74043,,1,,10
3,1,5,73,1,74044,,1,,
8,2,5,38,1,74045,5,2,,
15,4,1,41,2,74046,4,1,,
5,6,6,40,2,74047,99,7,,
6,2,1,80,1,74048,,1,,
7,2,3,62,2,74049,6,1,,
6,4,3,44,2,74050,,1,,
15,4,5,20,2,74051,,1,,
1,3,,19,2,74052,,1,,13
7,5,,10,2,74053,,1,,4
10,3,6,40,2,74054,,1,,
8,3,1,57,1,74055,6,1,,
5,7,1,38,1,74056,5,2,,
6,2,1,63,2,74057,,1,,
6,5,3,60,2,74058,,1,,
15,2,1,57,1,74059,,1,,
14,5,,8,2,74060,,1,,2
5,6,,12,2,74061,,1,,5
4,3,5,67,2,74062,8,2,,
15,5,1,49,1,74063,5,2,,
4,3,,17,1,74064,2,2,,9
8,1,2,71,2,74065,,1,,
4,6,1,56,1,74066,6,2,,
7,5,,2,2,74067,,1,,
1,2,,5,2,74068,,1,,
5,4,,0,2,74069,,1,11,
15,3,1,59,2,74070,,1,,
15,5,,3,2,74071,,1,,
4,1,4,63,1,74072,,1,,
3,2,,0,1,74073,,1,8,
4,6,,4,2,74074,,1,,
2,1,5,59,1,74075,,1,,
15,4,,4,2,74076,,1,,
9,5,5,26,1,74077,,1,,
14,2,1,63,1,74078,,1,,
5,5,,2,2,74079,,1,,
14,7,,5,2,74080,,1,,
5,2,1,80,1,74081,,1,,
3,3,,4,1,74082,,1,,
6,1,3,67,2,74083,,1,,
5,5,,1,1,74084,,1,15,
4,2,2,80,2,74085,,1,,
15,4,,6,1,74086,,1,,0
15,7,1,59,2,74087,5,2,,
5,6,,12,1,74088,,1,,6
5,5,,11,1,74089,,1,,5
6,1,3,80,2,74090,,1,,
10,5,,19,2,74091,,1,,11
15,7,,6,2,74092,,1,,0
15,7,,4,1,74093,,1,,
6,5,,7,1,74094,,1,,1
15,4,,12,2,74095,,1,,6
2,2,1,53,1,74096,,1,,
15,6,1,40,2,74097,,1,,
7,5,,0,1,74098,,1,4,
5,5,1,44,1,74099,6,1,,
4,1,3,69,1,74100,,1,,
5,5,5,34,2,74101,,1,,
7,4,,18,2,74102,,1,,12
5,4,,17,2,74103,,1,,11
15,5,,8,2,74104,,1,,2
3,4,,0,2,74105,,1,1,
9,6,,10,2,74106,,1,,4
4,4,,4,1,74107,,1,,
14,5,,1,2,74108,,1,19,
7,3,3,59,2,74109,7,2,,
6,4,1,60,1,74110,3,2,,
15,5,2,61,2,74111,7,1,,
4,6,6,28,2,74112,,1,,
5,4,,17,1,74113,,1,,11
6,6,,9,2,74114,,1,,3
4,5,6,27,1,74115,3,2,,
8,6,4,25,1,74116,,1,,
14,6,,8,2,74117,,1,,2
14,5,1,35,2,74118,4,1,,
7,5,1,32,2,74119,4,1,,
5,2,1,80,1,74120,,1,,
15,3,,9,2,74121,,1,,2
6,1,3,71,2,74122,9,2,,
3,2,6,21,2,74123,,1,,
5,2,4,28,2,74124,4,1,,
12,5,1,39,2,74125,,1,,
8,1,5,53,2,74126,,1,,
5,7,5,33,2,74127,,1,,
7,5,1,71,2,74128,5,1,,
8,7,1,56,1,74129,3,2,,
9,6,,12,1,74130,,1,,4
10,3,1,24,2,74131,,1,,
10,3,1,62,2,74132,,1,,
6,5,,14,2,74133,,1,,8
9,3,1,51,2,74134,5,2,,
15,4,,6,2,74135,,1,,0
77,4,,9,1,74136,,1,,3
8,7,,17,1,74137,4,2,,12
6,3,1,69,1,74138,8,1,,
1,2,1,63,2,74139,7,1,,
3,5,,8,2,74140,3,2,,2
9,1,3,71,2,74141,,1,,
7,3,1,61,1,74142,,1,,
15,4,1,30,1,74143,,1,,
14,3,1,51,1,74144,7,2,,
7,3,,6,1,74145,3,2,,0
2,2,1,50,1,74146,6,1,,
4,2,1,79,2,74147,,1,,
5,2,1,42,2,74148,,1,,
2,1,5,54,2,74149,,1,,
14,7,6,20,2,74150,,1,,
2,5,,1,1,74151,,1,21,
2,1,2,74,2,74152,,1,,
77,2,1,59,2,74153,,1,,
8,3,1,52,2,74154,,1,,
4,3,5,20,2,74155,,1,,
7,5,,3,2,74156,,1,,
15,6,,7,2,74157,,1,,0
6,6,,19,2,74158,,1,,11
15,2,5,32,1,74159,,1,,
14,4,1,66,2,74160,,1,,
6,7,,16,2,74161,,1,,10
,5,,19,2,74162,,1,,15
14,3,,11,2,74163,,1,,5
6,3,5,38,2,74164,,1,,
8,7,,3,1,74165,,1,,
2,5,1,28,2,74166,,1,,
14,5,,0,1,74167,,1,4,
5,5,,14,1,74168,,1,,8
8,3,5,22,1,74169,,1,,
15,1,1,56,1,74170,,1,,
9,3,,17,1,74171,,1,,11
6,3,3,33,2,74172,,1,,
5,3,2,43,2,74173,4,1,,
15,4,,3,2,74174,,1,,
2,1,2,80,2,74175,,1,,
4,6,1,51,2,74176,4,2,,
6,5,,5,1,74177,,1,,
15,2,4,53,2,74178,,1,,
15,6,,17,1,74179,,1,,11
9,2,1,63,2,74180,,1,,
6,3,5,38,1,74181,,1,,
7,7,,12,1,74182,,1,,6
15,5,,11,2,74183,,1,,6
15,3,1,55,2,74184,6,1,,
15,5,,11,2,74185,,1,,5
7,5,1,29,2,74186,,1,,
12,6,5,23,2,74187,,1,,
77,1,5,80,1,74188,,1,,
6,3,,0,2,74189,,1,1,
8,2,1,56,2,74190,,1,,
1,3,3,39,2,74191,,1,,
7,5,,7,2,74192,,1,,2
3,1,5,66,2,74193,,1,,
4,3,,3,2,74194,,1,,
5,5,1,26,2,74195,,1,,
15,3,1,36,2,74196,,1,,
4,3,5,26,1,74197,,1,,
7,1,3,66,2,74198,4,1,,
1,3,5,22,2,74199,,1,,
6,5,,5,1,74200,,1,,
3,3,5,25,2,74201,,1,,
14,2,1,59,1,74202,,1,,
5,2,4,51,2,74203,,1,,
4,7,,6,2,74204,,1,,0
15,7,1,65,1,74205,4,2,,
14,2,,16,1,74206,,1,,10
9,3,1,32,2,74207,,1,,
6,7,,2,1,74208,,1,,
6,5,,9,2,74209,,1,,2
4,5,,0,1,74210,,1,2,
4,3,1,74,2,74211,,1,,
9,4,,7,2,74212,,1,,0
5,6,,6,2,74213,2,2,,0
15,5,1,47,2,74214,5,1,,
15,4,,9,2,74215,3,1,,3
3,3,,4,1,74216,,1,,
5,3,,5,1,74217,,1,,
7,3,,10,1,74218,,1,,5
15,3,1,74,1,74219,6,1,,
4,2,,14,1,74220,,1,,8
77,7,6,34,2,74221,,1,,
5,2,6,45,1,74222,,1,,
7,4,,1,2,74223,,1,15,
5,3,3,66,1,74224,,1,,
5,1,3,67,2,74225,9,1,,
1,2,5,20,2,74226,,1,,
3,1,4,78,2,74227,9,1,,
4,2,,2,1,74228,,1,,
14,4,,17,2,74229,,1,,11
9,3,1,44,1,74230,6,2,,
6,1,3,67,2,74231,,1,,
6,5,1,29,2,74232,,1,,
5,2,,19,2,74233,,1,,14
5,3,,0,1,74234,,1,6,
8,2,6,27,2,74235,,1,,
6,5,,1,1,74236,,1,21,
15,2,3,51,2,74237,,1,,
8,4,,6,1,74238,3,1,,0
15,3,1,35,2,74239,,1,,
8,1,3,74,2,74240,,1,,
8,2,1,72,1,74241,,1,,
6,5,,9,2,74242,,1,,4
8,4,1,33,2,74243,,1,,
7,3,,7,2,74244,,1,,1
7,7,,11,2,74245,,1,,6
3,1,3,71,2,74246,7,1,,
14,2,1,74,1,74247,9,1,,
8,5,,4,2,74248,,1,,
15,4,,16,2,74249,,1,,10
1,5,,2,2,74250,,1,,
5,4,5,20,1,74251,,1,,
8,6,,18,2,74252,,1,,13
6,2,1,77,1,74253,,1,,
15,6,1,71,1,74254,,1,,
14,5,,7,1,74255,,1,,0
1,2,,17,1,74256,,1,,13
,6,,0,2,74257,,1,4,
14,6,,1,1,74258,,1,20,
7,4,1,39,2,74259,4,1,,
3,3,3,52,2,74260,,1,,
4,5,,2,2,74261,2,2,,
2,1,2,70,2,74262,,1,,
7,5,,8,2,74263,,1,,2
5,4,3,46,2,74264,7,2,,
3,4,1,36,2,74265,3,2,,
4,6,,1,1,74266,,1,14,
4,6,,4,2,74267,,1,,
2,2,3,62,2,74268,,1,,
15,5,,4,1,74269,,1,,
15,3,1,51,2,74270,,1,,
6,7,,13,1,74271,,1,,7
8,4,,0,2,74272,,1,8,
14,6,,16,1,74273,,1,,9
8,5,,16,1,74274,,1,,10
14,3,5,29,2,74275,,1,,
4,2,6,62,2,74276,,1,,
14,6,,16,1,74277,,1,,9
15,7,1,42,2,74278,2,2,,
6,2,5,21,2,74279,,1,,
12,2,1,80,2,74280,,1,,
10,2,5,27,1,74281,,1,,
6,3,6,23,2,74282,,1,,
8,2,3,49,2,74283,4,2,,
8,7,1,58,1,74284,,1,,
15,6,5,30,2,74285,6,1,,
4,6,,10,2,74286,,1,,3
9,2,3,60,1,74287,,1,,
7,4,,15,2,74288,,1,,9
3,4,,0,1,74289,,1,8,
10,5,1,48,1,74290,,1,,
9,7,,3,2,74291,,1,,
3,1,3,63,2,74292,,1,,
9,1,5,27,2,74293,,1,,
4,4,5,44,2,74294,,1,,
7,1,5,26,1,74295,2,2,,
15,2,5,26,1,74296,,1,,
77,4,,9,1,74297,,1,,3
6,2,1,80,2,74298,,1,,
6,3,,0,2,74299,,1,10,
15,1,1,46,1,74300,8,1,,
15,2,5,50,2,74301,,1,,
14,4,6,62,1,74302,8,1,,
8,5,,3,1,74303,,1,,
3,2,1,80,1,74304,,1,,
6,4,1,71,1,74305,,1,,
6,5,1,62,1,74306,,1,,
7,4,,6,2,74307,,1,,0
6,6,,11,1,74308,,1,,4
6,7,,4,2,74309,,1,,
14,2,1,60,2,74310,7,1,,
14,7,,5,1,74311,,1,,
3,1,5,22,1,74312,,1,,
4,2,1,80,2,74313,,1,,
15,5,1,50,1,74314,6,1,,
3,5,,7,2,74315,,1,,2
2,3,,17,2,74316,,1,,12
10,4,1,33,1,74317,,1,,
9,3,1,52,2,74318,,1,,
2,1,3,68,2,74319,6,1,,
2,4,,1,2,74320,,1,22,
2,2,,1,1,74321,,1,18,
14,7,,18,1,74322,3,2,,9
14,3,1,27,2,74323,,1,,
