query,penalty,time
1,0.00270451084995,2950553.89604
1,0.00284803210717,2806957.65634
1,0.00303596943921,2258366.91672
1,0.00334203950238,1695016.50264
1,0.33544241063,1304909.6977
1,0.335630384275,756199.565843
1,0.501596133104,366037.9209
1,0.667949382249,362615.658419
1,1.0,5311.7728125
2,0.0027234292145,2930935.14105
2,0.00286150165731,2029022.22583
2,0.00317316603223,1668193.52774
2,0.33514984643,1090204.89903
2,0.335461510805,729376.200941
2,0.667730755402,368619.762853
2,1.0,7932.71476563
3,0.0018430557541,1270432.01807
3,0.00225727308252,548865.391897
3,0.00319226620728,368473.722853
3,1.0,7696.58476562
4,0.00250111974388,1870748.09373
4,0.0027247696449,1090046.95903
4,0.0047439638939,487059.364228
4,0.501596133104,368498.762853
4,0.503277015657,116076.223616
4,1.0,7761.92476562
5,0.00270451084995,2950488.66604
5,0.00723586853858,1490142.71947
5,0.501596133104,1448227.83516
5,0.505868156585,43438.1832986
5,1.0,5173.2928125
6,0.00188591985448,4830578.37907
6,0.00260862749301,2410950.95801
6,0.500942959927,1813998.0
6,0.502431600609,259295.712128
6,1.0,4042.9665625
9,0.00183549836327,7703648.95736
9,0.00186634520264,6698164.91228
9,0.0130681498175,4695850.82167
9,0.0131158038206,3834143.1805
9,0.334604652912,3825313.14712
9,0.345806457527,1823143.93651
9,0.34586623781,1740833.46985
9,0.517766726363,13135.4430669
9,1.0,4305.4096875
